"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"171",2015,"Santa Inês (PB)",2513356,3594,3539,1823,1716,970,1923,646,502,901,313
"172",2015,"Santa Luzia (PB)",2513406,15278,14719,7138,7581,3536,7720,3463,1741,3914,1926
"173",2015,"Santana de Mangueira (PB)",2513505,5223,5331,2697,2634,1470,2802,1059,693,1386,555
"174",2015,"Santana dos Garrotes (PB)",2513604,7113,7266,3512,3754,1781,3690,1795,863,1895,996
"175",2015,"Joca Claudino (PB)",2513653,2680,2615,1268,1347,629,1369,617,308,723,316
"176",2015,"Santa Rita (PB)",2513703,134940,120310,58119,62191,32143,66914,21253,15914,34438,11839
"177",2015,"Santa Teresinha (PB)",2513802,4592,4581,2276,2305,1188,2368,1025,566,1206,533
"178",2015,"Santo André (PB)",2513851,2541,2638,1337,1301,564,1379,695,261,675,365
"179",2015,"São Bento (PB)",2513901,33464,30879,15220,15659,8027,17707,5145,3865,8972,2822
"180",2015,"São Bentinho (PB)",2513927,4451,4138,2015,2123,1022,2101,1015,519,1059,545
"181",2015,"São Domingos do Cariri (PB)",2513943,2563,2420,1212,1208,589,1237,594,290,617,301
"182",2015,"São Domingos (PB)",2513968,3061,2855,1412,1443,645,1468,742,319,720,404
"183",2015,"São Francisco (PB)",2513984,3375,3364,1660,1704,713,1676,975,356,834,514
"184",2015,"São João do Cariri (PB)",2514008,4323,4344,2120,2224,1007,2229,1108,508,1104,612
"185",2015,"São João do Tigre (PB)",2514107,4432,4396,2247,2149,1277,2095,1024,602,1038,509
"186",2015,"São José da Lagoa Tapada (PB)",2514206,7677,7564,3680,3884,1866,3792,1906,943,1898,1043
"187",2015,"São José de Caiana (PB)",2514305,6231,6010,3052,2958,1822,3144,1044,907,1525,526
"188",2015,"São José de Espinharas (PB)",2514404,4684,4760,2501,2259,1207,2423,1130,573,1134,552
"189",2015,"São José dos Ramos (PB)",2514453,5870,5508,2759,2749,1561,2855,1092,739,1426,584
"190",2015,"São José de Piranhas (PB)",2514503,19956,19096,9529,9567,4877,10053,4166,2433,4969,2165
"191",2015,"São José de Princesa (PB)",2514552,3955,4219,2139,2080,1135,2186,898,545,1062,473
"192",2015,"São José do Bonfim (PB)",2514602,3492,3233,1626,1607,855,1709,669,412,841,354
"193",2015,"São José do Brejo do Cruz (PB)",2514651,1780,1684,849,835,459,898,327,236,436,163
"194",2015,"São José do Sabugi (PB)",2514701,4124,4010,2042,1968,950,2151,909,476,1030,462
"195",2015,"São José dos Cordeiros (PB)",2514800,3729,3985,1982,2003,1039,1913,1033,515,957,531
"196",2015,"São Mamede (PB)",2514909,7756,7748,3837,3911,1828,3821,2099,861,1951,1099
"197",2015,"São Miguel de Taipu (PB)",2515005,7079,6696,3341,3355,1977,3493,1226,1007,1716,632
"198",2015,"São Sebastião de Lagoa de Roça (PB)",2515104,11677,11041,5423,5618,2931,5685,2425,1433,2909,1276
"199",2015,"São Sebastião do Umbuzeiro (PB)",2515203,3440,3235,1616,1619,843,1638,754,406,808,405
"200",2015,"Sapé (PB)",2515302,52218,50143,24653,25490,13176,26599,10368,6454,13485,5551
"201",2015,"São Vicente do Seridó (PB)",2515401,10900,10230,5261,4969,3053,5397,1780,1482,2592,895
"202",2015,"Serra Branca (PB)",2515500,13564,12973,6334,6639,3015,6484,3474,1493,3267,1879
"203",2015,"Serra da Raiz (PB)",2515609,3154,3204,1595,1609,862,1608,734,428,786,395
"204",2015,"Serra Grande (PB)",2515708,3078,2975,1502,1473,778,1584,613,389,758,326
"205",2015,"Serra Redonda (PB)",2515807,7053,7050,3359,3691,1796,3510,1744,936,1776,979
"206",2015,"Serraria (PB)",2515906,6153,6238,3092,3146,1816,2955,1467,887,1477,782
"207",2015,"Sertãozinho (PB)",2515930,4892,4395,2143,2252,1156,2172,1067,564,1109,579
"208",2015,"Sobrado (PB)",2515971,7712,7373,3679,3694,1896,4031,1446,887,2056,751
"209",2015,"Solânea (PB)",2516003,26734,26693,12764,13929,7096,13359,6238,3467,6952,3510
"210",2015,"Soledade (PB)",2516102,14714,13739,6770,6969,3656,7185,2898,1823,3565,1581
"211",2015,"Sossêgo (PB)",2516151,3475,3169,1581,1588,929,1608,632,468,809,311
"212",2015,"Sousa (PB)",2516201,68822,65803,31798,34005,15712,36109,13982,7685,18419,7901
"213",2015,"Sumé (PB)",2516300,16784,16060,7927,8133,3668,8484,3908,1808,4271,2054
"214",2015,"Tacima (PB)",2516409,10822,10262,5162,5100,2501,5611,2150,1182,2745,1173
"215",2015,"Taperoá (PB)",2516508,15376,14936,7346,7590,3985,7558,3393,1924,3789,1877
"216",2015,"Tavares (PB)",2516607,14568,14103,7034,7069,3961,7348,2794,1901,3655,1513
"217",2015,"Teixeira (PB)",2516706,14974,14153,6934,7219,4081,7400,2672,2018,3740,1461
"218",2015,"Tenório (PB)",2516755,3011,2813,1466,1347,761,1529,523,355,725,267
"219",2015,"Triunfo (PB)",2516805,9447,9220,4570,4650,2360,4660,2200,1117,2372,1161
"220",2015,"Uiraúna (PB)",2516904,15228,14584,7011,7573,3330,7530,3724,1664,3852,2057
"221",2015,"Umbuzeiro (PB)",2517001,9889,9298,4509,4789,2511,4688,2099,1246,2381,1162
"222",2015,"Várzea (PB)",2517100,2747,2504,1268,1236,556,1297,651,275,634,327
"223",2015,"Vieirópolis (PB)",2517209,5295,5045,2538,2507,1125,2525,1395,527,1245,735
"224",2015,"Zabelê (PB)",2517407,2208,2075,1051,1024,548,1063,464,246,515,263
